mob_name,family,resolved_flags,resolved_from,mob_page_flags,family_page_flags,sighting_flags,ge_aggressive,flags_gloss
Screaming Kalong,Bat,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Screecher,Funguar,P,family-page,,P,,,passive - does not attack unless engaged
Scurrying Spriggan,Spriggan,P,mob-page,P,"A, S",P,,passive - does not attack unless engaged
Sea Hare,Slug,P,sighting,,,P,,passive - does not attack unless engaged
Sea Puk,Puk,P,sighting,,,P,,passive - does not attack unless engaged
Sea Wasp,Aurelia,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Ser Aucheforne of the High Tide,Enemy Humanoid,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Serpent Reaver Claw,Enemy Humanoid,"A, S",family-page,,"A, S",A,y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Serpent Reaver Eye,Enemy Humanoid,"A, S",family-page,,"A, S",A,y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Serpent Reaver Fin,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Sewer Mole,Mole,P,family-page,,P,P,,passive - does not attack unless engaged
Shade Lurker,Wisp,A,sighting,,,A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Shade Seeker,Wisp,P,sighting,,,P,,passive - does not attack unless engaged
Shadow Lurker,Wisp,A,sighting,,,A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Shadow Seeker,Wisp,P,sighting,,,P,,passive - does not attack unless engaged
Shaggy Wolf,Wolf,,,,,,,
Shaula,Diremite,"A, H",family-page,,"A, H",,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Shearing Sheridan,Crab,"A, H",mob-page,"A, H","P, H",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Shore Slug,Slug,P,sighting,,,P,,passive - does not attack unless engaged
Shroud Bee Swarm,Swarm,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Shroud Hare,Slug,P,sighting,,,P,,passive - does not attack unless engaged
Shroud Shrew,Mole,P,family-page,,P,P,,passive - does not attack unless engaged
Shuffling Spriggan,Spriggan,P,mob-page,P,"A, S",P,,passive - does not attack unless engaged
Sirocco,Antelope,P,sighting,,,P,,passive - does not attack unless engaged
Skeleton Soldier,Wight,"A, H",family-page,,"A, H",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Skeleton Swordbearer,Wight,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Skulking Wolf,Wolf,A,sighting,,,A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Slippery Sykes,Slug,P,sighting,,,P,,passive - does not attack unless engaged
Slithering Slug,Slug,P,sighting,,,P,,passive - does not attack unless engaged
Smoke Bomb,Bomb,"A, S",family-page,,"A, S",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Smolenkos,Ahriman,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Snapping Shrew,Mole,P,family-page,,P,P,,passive - does not attack unless engaged
Snipper,Crab,"A, H",mob-page,"A, H","P, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Snowbuck Stag,Antelope,"A, S",mob-page,"A, S",,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Snurble,Snurble,P,sighting,,,P,,passive - does not attack unless engaged
Sordes,Puk,,,,,,,
Sotted Simian,Opo-Opo,P,sighting,,,P,,passive - does not attack unless engaged
Soulgazer,Ahriman,P,mob-page,P,"A, S",P,,passive - does not attack unless engaged
Spawning Orobon,Angler,"A, TH",family-page,,"A, TH",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Spelaean Slug,Slug,A,sighting,,,A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Sphene Doblyn,Coblyn,P,family-page,,P,,,passive - does not attack unless engaged
Spindiggle,Spriggan,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Spinesnap Ogre,Ogre,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Spiny Dormouse,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Spirit of the Wood,Elemental,"A, H",family-page,,"A, H",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Spiteful,Spriggan,"A, S",family-page,,"A, S",,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Spitfire,Spriggan,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Spriggan,Spriggan,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Spriggan Bezzler,Spriggan,"A, S",family-page,,"A, S",P,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Spriggan Collector,Spriggan,"A, S",family-page,,"A, S","A, P",Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Sprinting Spriggan,Spriggan,P,mob-page,P,"A, S",P,,passive - does not attack unless engaged
Star Marmot,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Steropes,Cyclopes,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Stollenwurm,Drake,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Stone Golem,Golem,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Stoneshell,Crab,"P, H",family-page,,"P, H",P,,passive - does not attack unless engaged; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement
Storm Biast,Drake,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Stormcry Boatswain,Enemy Humanoid,"A, S",family-page,,"A, S",A,y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Stormcry Powder Monkey,Enemy Humanoid,"A, S",family-page,,"A, S",A,y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Stormcry Quartermaster,Enemy Humanoid,"A, S",family-page,,"A, S",A,y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Stray Dodo,Cockatrice,P,sighting,,,P,,passive - does not attack unless engaged
Stray Karakul Ewe,Ram,P,sighting,,,P,,passive - does not attack unless engaged
Stray Karakul Ram,Ram,P,sighting,,,P,,passive - does not attack unless engaged
Stuffed Dodo,Cockatrice,P,sighting,,,P,,passive - does not attack unless engaged
Stumbling Funguar,Funguar,P,family-page,,P,,,passive - does not attack unless engaged
Sulfur Slug,Slug,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Sultan's Trumpet,Mole,P,family-page,,P,P,,passive - does not attack unless engaged
Sultansworn Elite,Enemy Humanoid,"A, S",family-page,,"A, S",,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Sun Midge Swarm,Swarm,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Sundrake,Drake,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Sure-footed Billygoat,Aldgoat,P,family-page,,P,P,,passive - does not attack unless engaged
Surf Eft,Salamander,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Sylph Susurrus,Sylph,,,,,,,
Syrphid Cloud,Swarm,,,,,,,
Syrphid Swarm,Swarm,P,sighting,,,P,,passive - does not attack unless engaged
Tainted Louse,Chigoe,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Tarbh Uisge,Buffalo,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Tempered Captive,Hyur,P,sighting,,,P,,passive - does not attack unless engaged
Tempest Biast,Drake,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Territorial Angler,Angler,"A, TH",family-page,,"A, TH",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Territorial Antling,Antling,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Territorial Chiglet,Chigoe,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Territorial Coblyn,Coblyn,P,family-page,,P,A,,passive - does not attack unless engaged
Territorial Digger,Antling,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Territorial Dreadwolf,Wolf,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Territorial Galago,Opo-opo,P,family-page,,P,P,,passive - does not attack unless engaged
Territorial Gnat,Gnat,"A, TH",family-page,,"A, TH",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Territorial Hog,Boar,"A, TH",family-page,,"A, TH",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Territorial Megalocrab,Crab,"A, H",mob-page,"A, H","P, H",A,A,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Territorial Raptor,Raptor,"A, S, L",family-page,,"A, S, L",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight; links - helps other mobs of its own kind"
Territorial Roselet,Landtrap,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Territorial Scavenger,Yarzon,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Territorial Wolf,Wolf,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Territorial Yarzon,Yarzon,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Thickshell,Crab,"P, H",family-page,,"P, H",P,,passive - does not attack unless engaged; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement
Third Order Patriarch Zu Ga,Kobold,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Thistletail Marmot,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Thorned Roseling,Landtrap,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Tiny Dormouse,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Toad Poacher,Enemy Humanoid,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Toadsquatter Femomo,Enemy Humanoid,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Toadstool,Funguar,P,family-page,,P,P,,passive - does not attack unless engaged
Toadtrap,Landtrap,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Toothless Gladiator,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Tourney Gladiator,Enemy Humanoid,"A, S",family-page,,"A, S",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Toxic Flytrap,Landtrap,"A, H",family-page,,"A, H",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Toxic Toad,Toad,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Trancetoad,Toad,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Tree Slug,Slug,P,sighting,,,P,,passive - does not attack unless engaged
Truffle Hog,Boar,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Tuco-tuco,Mole,P,family-page,,P,P,,passive - does not attack unless engaged
Turquoise Dewflower Sylph,Sylph,,,,,,,
Tusked Hog,Boar,"A, TH",family-page,,"A, TH",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
U'Ghamaro Ashman,Kobold,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
U'Ghamaro Gateman,Kobold,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
U'Ghamaro Gurneyman,Kobold,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
U'Ghamaro Junkman,Kobold,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
U'Ghamaro Overman,Kobold,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
U'Ghamaro Underman,Kobold,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Uncommon Cactuar,Cactuar,P,family-page,,P,,,passive - does not attack unless engaged
Unknown Soldier,Ghost,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Uraeus,Basilisk,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
VIIth Legion Centurion,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
VIIth Legion Eques,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
VIIth Legion Hoplomachus,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
VIIth Legion Laquearius,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
VIIth Legion Medicus,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
VIIth Legion Sagitarius,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
VIIth Legion Secutor,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
VIIth Legion Signifer,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Vale Diremite,Diremite,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Vale Wasp,Aurelia,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Velociraptor,Raptor,"A, S, L",family-page,,"A, S, L",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight; links - helps other mobs of its own kind"
Venomtongue Assassin,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Vile Gnat,Gnat,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Void Flame,Wisp,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Void Lantern,Wisp,A,sighting,,,A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Voidtongue Ahzabb Chah,Amalj'aa,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Vulture,Vulture,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Vulture Poacher,Enemy Humanoid,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Vulturetrap,Landtrap,"A, H",family-page,,"A, H",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Wadjet,Basilisk,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Wandering Bogy,Ghost,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Wandering Mage,Fomor,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Wandering Soldier,Fomor,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Wandering Wight,Wight,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Wandering Wisp,Wisp,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Watchwolf,Wolf,A,sighting,,,A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Water Elemental,Elemental,"A, H",family-page,,"A, H",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Waterdog,Salamander,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Wayside Archer,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Wayside Backstabber,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Wayside Bewitcher,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Wayside Bludgeoner,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Wayside Boarder,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Wayside Lancer,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Wayside Pugilist,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Wayside Raider,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Wayside Sniper,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Wendigo,Wight,"A, H",family-page,,"A, H",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Westroad Footpad,Enemy Humanoid,"A, S",family-page,,"A, S",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Westroad Raider,Enemy Humanoid,"A, S",family-page,,"A, S",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Wharf Rat,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Whiskerwall Kupdi Koop,Moogle,A,sighting,,,A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Whitetalon,Hippogryph,"A, TH",family-page,,"A, TH",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Wicked Soul,Ghost,A,sighting,,,A,A,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Widargelt the Watcher,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Widow's Suitor,Diremite,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Widowmaker,Diremite,"A, H",family-page,,"A, H",,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Wight Warrior,Wight,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Wild Boar,Boar,"A, TH",family-page,,"A, TH",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Wild Ewe,Ram,P,sighting,,,P,,passive - does not attack unless engaged
Wild Hog,Boar,"A, TH",family-page,,"A, TH",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Wild Jackal,Wolf,A,sighting,,,A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Will-o'-the Wykes,Wisp,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Will-o'-the-wisp,Wisp,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Wind Elemental,Elemental,"A, H",family-page,,"A, H",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Windborn Buccaneer,Enemy Humanoid,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Wingrat,Bat,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Wisp Familiar,Wisp,A,sighting,,,A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Wolf Poacher,Enemy Humanoid,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Wood Weevil,Beetle,P,sighting,,,P,,passive - does not attack unless engaged
Woodsin Thrall,Ghost,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Woolywart Kupqu Kogi,Moogle,A,sighting,,,A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Xha Viqqoh the Nibbler,Enemy Humanoid,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Yarzon Biter,Yarzon,"A, H",family-page,,"A, H",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Yarzon Bleeder,Yarzon,"A, H",family-page,,"A, H",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Yarzon Burrower,Yarzon,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Yarzon Feeder,Yarzon,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Yarzon Invader,Yarzon,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Yarzon Scavenger,Yarzon,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Yarzon Stalker,Yarzon,"A, H",family-page,,"A, H",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Yellow Dewflower Sylph,Sylph,,,,,,,
Yotoli Hueloc the Austere,Ixal,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Young Antelope Stag,Antelope,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Young Galago,Opo-opo,P,family-page,,P,P,,passive - does not attack unless engaged
